,Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
13827,Mobile Suit Gundam SEED Destiny Astray,6390,Manga,4,Sep 2004 - Apr 2006,630,https://myanimelist.net/manga/10982/Mobile_Suit_Gundam_SEED_Destiny_Astray,https://cdn.myanimelist.net/r/100x140/images/manga/3/14793.jpg?s=5d50589b729a410d5a68756a726d318b,7.15
13828,Akachan to Boku,1862,Manga,18,May 1991 - Jun 1997,2490,https://myanimelist.net/manga/76/Akachan_to_Boku,https://cdn.myanimelist.net/r/100x140/images/manga/3/179184.jpg?s=72754c8e5991c322935e42ad9e94504c,7.66
13829,Doll,6948,Manga,1,Jan 1996 - Jan 1996,1074,https://myanimelist.net/manga/1566/Doll,https://cdn.myanimelist.net/r/100x140/images/manga/1/152341.jpg?s=427e713ccae7836b4b3eaf768b119fc0,7.11
13830,Watashibito,14658,One-shot,?,Aug 2016 - Aug 2016,568,https://myanimelist.net/manga/103940/Watashibito,https://cdn.myanimelist.net/r/100x140/images/manga/1/190468.jpg?s=1ed6e544aa0a1b247098eee488c7b022,6.52
13831,Cavalier of the Abyss,2551,Manhwa,24,2008 - Dec 2018,12908,https://myanimelist.net/manga/10376/Cavalier_of_the_Abyss,https://cdn.myanimelist.net/r/100x140/images/manga/3/202184.jpg?s=e31b227bc1eece751b9db3ee5123c155,7.54
13832,Otome no Itari,6223,One-shot,?,May 2020 - May 2020,798,https://myanimelist.net/manga/129375/Otome_no_Itari,https://cdn.myanimelist.net/r/100x140/images/manga/3/236008.jpg?s=53c95ed8485a119b32e4d123fc12ea73,7.17
13833,Josou shite Mendokusai Koto ni Natteru Nekura to Yankee no Ryou Kataomoi,3815,Manga,?,Sep 2018 -,1632,https://myanimelist.net/manga/118126/Josou_shite_Mendokusai_Koto_ni_Natteru_Nekura_to_Yankee_no_Ryou_Kataomoi,https://cdn.myanimelist.net/r/100x140/images/manga/3/221159.jpg?s=bf5b0ae0fb1512166b5e542921ef95df,7.38
13834,Unlucky Boy Undead Girl,5226,One-shot,?,Jan 2015 - Jan 2015,4516,https://myanimelist.net/manga/87281/Unlucky_Boy_Undead_Girl,https://cdn.myanimelist.net/r/100x140/images/manga/3/151937.jpg?s=88751691f3b07eb63a51d9113ebe6118,7.25
13835,Gamaran,1633,Manga,22,May 2009 - Jun 2013,31379,https://myanimelist.net/manga/14582/Gamaran,https://cdn.myanimelist.net/r/100x140/images/manga/2/122963.jpg?s=0c04275596eccea99839b8b2152eaccc,7.7
13836,Munasawagi Karute,9109,Manga,1,2000 -,473,https://myanimelist.net/manga/4274/Munasawagi_Karute,https://cdn.myanimelist.net/r/100x140/images/manga/5/10357.jpg?s=0d2186f3f15ecf267e3d75ffad85c676,6.96
13837,Twins Game,16849,Manga,1,Jul 2012 - Jul 2012,700,https://myanimelist.net/manga/43353/Twins_Game,https://cdn.myanimelist.net/r/100x140/images/manga/3/76171.jpg?s=71627f8a5057cb093b04071082c205b4,6.19
13838,Canaria-tachi no Fune,14113,Manga,1,Jun 2015 - Nov 2015,1270,https://myanimelist.net/manga/99920/Canaria-tachi_no_Fune,https://cdn.myanimelist.net/r/100x140/images/manga/3/180666.jpg?s=09c3208c3d9214f1f473448230ffa05b,6.57
13839,Reset,10757,Manga,1,2005 - 2005,4941,https://myanimelist.net/manga/2080/Reset,https://cdn.myanimelist.net/r/100x140/images/manga/3/36329.jpg?s=8b5e0ce83cffcca5b080f6131f51645d,6.84
13840,My Summer Memory,17537,One-shot,?,2010 - 2010,334,https://myanimelist.net/manga/22866/My_Summer_Memory,https://cdn.myanimelist.net/r/100x140/images/manga/3/37019.jpg?s=810a603d2f1ef88dac5d20589a24db3b,5.82
13841,NOW,8632,Manhwa,25,2001 - 2006,716,https://myanimelist.net/manga/1454/NOW,https://cdn.myanimelist.net/r/100x140/images/manga/1/1395.jpg?s=a69427ce9e177c64514d380468578895,6.99
13842,Kanojo no Kuchizuke,5064,Doujinshi,?,Feb 2015 -,1666,https://myanimelist.net/manga/92724/Kanojo_no_Kuchizuke,https://cdn.myanimelist.net/r/100x140/images/manga/2/163649.jpg?s=6c3561bd75779250c9843ee7a55bd597,7.26
13843,Digimon Story: Cyber Sleuth,14016,One-shot,?,Feb 2015 - Feb 2015,291,https://myanimelist.net/manga/96169/Digimon_Story__Cyber_Sleuth,https://cdn.myanimelist.net/r/100x140/images/manga/3/220599.jpg?s=678d976b161c99f7953ab8eda7291b2a,6.58
